Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,1144.449951,1176.189941,1144.449951,1175.760010,1175.760010,1719200
2019-03-12,1178.260010,1200.000000,1178.260010,1193.199951,1193.199951,2013100
2019-03-13,1200.645020,1200.930054,1191.939941,1193.319946,1193.319946,1435900
2019-03-14,1194.510010,1197.880005,1184.479980,1185.550049,1185.550049,1172800
2019-03-15,1193.380005,1196.569946,1182.609985,1184.459961,1184.459961,2461800
2019-03-18,1183.300049,1190.000000,1177.421021,1184.260010,1184.260010,1292600
2019-03-19,1188.810059,1200.000000,1185.869995,1198.849976,1198.849976,1520700
2019-03-20,1197.349976,1227.140015,1196.170044,1223.969971,1223.969971,2227400
2019-03-21,1216.000000,1231.790039,1213.150024,1231.540039,1231.540039,1204000
2019-03-22,1226.319946,1230.000000,1202.824951,1205.500000,1205.500000,1714200
2019-03-25,1196.930054,1206.397949,1187.040039,1193.000000,1193.000000,1496800
2019-03-26,1198.530029,1202.829956,1176.719971,1184.619995,1184.619995,1901200
2019-03-27,1185.500000,1187.558960,1159.369995,1173.020020,1173.020020,1400200
2019-03-28,1171.540039,1171.564941,1159.431030,1168.489990,1168.489990,1012400
2019-03-29,1174.900024,1178.989990,1162.880005,1173.310059,1173.310059,1269900
2019-04-01,1184.099976,1196.660034,1182.000000,1194.430054,1194.430054,1252500
2019-04-02,1195.319946,1201.349976,1185.709961,1200.489990,1200.489990,827900
2019-04-03,1207.479980,1216.300049,1200.500000,1205.920044,1205.920044,1017800
2019-04-04,1205.939941,1215.670044,1204.130005,1215.000000,1215.000000,950000
2019-04-05,1214.989990,1216.219971,1205.030029,1207.150024,1207.150024,907200
2019-04-08,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200
